Category1,Category2,Pathway,KOID
Metabolism,Carbohydrate Metabolism,Citrate Cycle (TCA Cycle),K00627
Metabolism,Carbohydrate Metabolism,Pyruvate Metabolism,K00627
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00628
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00629
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00629
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00630
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00630
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00631
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00631
Metabolism,Lipid Metabolism,Fatty Acid Degradation,K00632
Metabolism,Lipid Metabolism,Alpha-Linoleic Acid Metabolism,K00632
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Degradation",K00632
Metabolism,Metabolism of Terpenoids and Polyketides,Geraniol Degradation,K00632
Metabolism,Xenobiotics Biodegradation and Metabolism,Benzoate Degradation,K00632
Metabolism,Xenobiotics Biodegradation and Metabolism,Ethylbenzene Degradation,K00632
Metabolism,Carbohydrate Metabolism,Butanoate Metabolism,K00634
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00635
Metabolism,Lipid Metabolism,Steroid Biosynthesis,K00637
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00639
Metabolism,Energy Metabolism,Sulfur Metabolism,K00640
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00640
Metabolism,Energy Metabolism,Sulfur Metabolism,K00641
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00641
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00643
Metabolism,Metabolism of Cofactors and Vitamins,Porphyrin and Chlorophyll Metabolism,K00643
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00645
Metabolism,Biosynthesis of Other Secondary Metabolites,Prodigiosin Biosynthesis,K00645
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00647
Metabolism,Metabolism of Cofactors and Vitamins,Biotin Metabolism,K00647
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00648
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00649
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00650
Metabolism,Energy Metabolism,Sulfur Metabolism,K00651
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00651
Metabolism,Metabolism of Cofactors and Vitamins,Biotin Metabolism,K00652
Metabolism,Lipid Metabolism,Sphingolipid Metabolism,K00654
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00655
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00655
Metabolism,Carbohydrate Metabolism,Pyruvate Metabolism,K00656
Metabolism,Carbohydrate Metabolism,Propanoate Metabolism,K00656
Metabolism,Carbohydrate Metabolism,Butanoate Metabolism,K00656
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00657
Metabolism,Carbohydrate Metabolism,Citrate Cycle (TCA Cycle),K00658
Metabolism,Amino Acid Metabolism,Lysine Degradation,K00658
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00658
Metabolism,Lipid Metabolism,Primary Bile Acid Biosynthesis,K00659
Metabolism,Lipid Metabolism,Biosynthesis of Unsaturated Fatty Acids,K00659
Metabolism,Metabolism of Other Amino Acids,Taurine and Hypotaurine Metabolism,K00659
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00665
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00667
Metabolism,Lipid Metabolism,Fatty Acid Biosynthesis,K00668
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00669
Metabolism,Energy Metabolism,Methane Metabolism,K00672
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00673
Metabolism,Amino Acid Metabolism,Lysine Biosynthesis,K00674
Metabolism,Glycan Biosynthesis and Metabolism,Lipopolysaccharide Biosynthesis,K00677
Metabolism,Metabolism of Cofactors and Vitamins,Retinol Metabolism,K00678
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00679
Metabolism,Metabolism of Other Amino Acids,Taurine and Hypotaurine Metabolism,K00681
Metabolism,Metabolism of Other Amino Acids,Cyanoamino Acid Metabolism,K00681
Metabolism,Metabolism of Other Amino Acids,Glutathione Metabolism,K00681
Metabolism,Metabolism of Other Amino Acids,Glutathione Metabolism,K00682
Metabolism,Glycan Biosynthesis and Metabolism,Peptidoglycan Biosynthesis,K00687
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00688
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00689
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00690
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00691
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00692
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00693
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00694
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00695
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00696
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00697
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00698
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00699
Metabolism,Carbohydrate Metabolism,Ascorbate and Aldarate Metabolism,K00699
Metabolism,Lipid Metabolism,Steroid Hormone Biosynthesis,K00699
Metabolism,Metabolism of Cofactors and Vitamins,Retinol Metabolism,K00699
Metabolism,Metabolism of Cofactors and Vitamins,Porphyrin and Chlorophyll Metabolism,K00699
Metabolism,Xenobiotics Biodegradation and Metabolism,Metabolism of Xenobiotics by Cytochrome P450,K00699
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00700
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00701
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00702
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00703
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00704
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00705
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00706
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00710
Metabolism,Glycan Biosynthesis and Metabolism,Lipopolysaccharide Biosynthesis,K00713
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00717
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00717
Metabolism,Lipid Metabolism,Sphingolipid Metabolism,K00720
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00721
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00726
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00726
Metabolism,Glycan Biosynthesis and Metabolism,Mannose Type O-glycan Biosynthesis,K00728
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00728
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00729
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00730
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00730
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00731
Metabolism,Glycan Biosynthesis and Metabolism,Mannose Type O-glycan Biosynthesis,K00735
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00736
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00736
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00737
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00738
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00738
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00744
Metabolism,Glycan Biosynthesis and Metabolism,Lipopolysaccharide Biosynthesis,K00748
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00750
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00753
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00756
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00757
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00758
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00759
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00760
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00761
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00762
Metabolism,Metabolism of Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,K00763
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00764
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00764
Metabolism,Amino Acid Metabolism,Histidine Metabolism,K00765
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00766
Metabolism,Metabolism of Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,K00767
Metabolism,Metabolism of Cofactors and Vitamins,Porphyrin and Chlorophyll Metabolism,K00768
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00769
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00770
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00772
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00778
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00778
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00779
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00779
Metabolism,Glycan Biosynthesis and Metabolism,Various Types of N-glycan Biosynthesis,K00781
Metabolism,Glycan Biosynthesis and Metabolism,Mannose Type O-glycan Biosynthesis,K00781
Metabolism,Glycan Biosynthesis and Metabolism,Other Types of O-glycan Biosynthesis,K00781
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00787
Metabolism,Metabolism of Cofactors and Vitamins,Thiamine Metabolism,K00788
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00789
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00790
Metabolism,Glycan Biosynthesis and Metabolism,Peptidoglycan Biosynthesis,K00790
Metabolism,Metabolism of Cofactors and Vitamins,Riboflavin Metabolism,K00793
Metabolism,Metabolism of Cofactors and Vitamins,Riboflavin Metabolism,K00794
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00795
Metabolism,Metabolism of Cofactors and Vitamins,Folate Biosynthesis,K00796
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00797
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00797
Metabolism,Metabolism of Other Amino Acids,Glutathione Metabolism,K00797
Metabolism,Metabolism of Cofactors and Vitamins,Porphyrin and Chlorophyll Metabolism,K00798
Metabolism,Metabolism of Other Amino Acids,Glutathione Metabolism,K00799
Metabolism,Xenobiotics Biodegradation and Metabolism,Metabolism of Xenobiotics by Cytochrome P450,K00799
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00800
Metabolism,Lipid Metabolism,Steroid Biosynthesis,K00801
Metabolism,Metabolism of Terpenoids and Polyketides,Sesquiterpenoid and Triterpenoid Biosynthesis,K00801
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00802
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00802
Metabolism,Metabolism of Other Amino Acids,Glutathione Metabolism,K00802
Metabolism,Lipid Metabolism,Ether Lipid Metabolism,K00803
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00804
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00805
Metabolism,Glycan Biosynthesis and Metabolism,Peptidoglycan Biosynthesis,K00806
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00806
Metabolism,Lipid Metabolism,Arachidonic Acid Metabolism,K00807
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00811
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00811
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00811
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00811
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00811
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00811
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00811
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00812
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00812
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00812
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00812
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00812
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00812
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00812
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00812
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00813
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00813
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00813
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00813
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00813
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00813
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00813
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00813
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00814
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00814
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00815
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00815
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00815
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00815
Metabolism,Metabolism of Cofactors and Vitamins,Ubiquinone and Other Terpenoid-quinone Biosynthesis,K00815
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00815
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00816
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00816
Metabolism,Metabolism of Other Amino Acids,Selenocompound Metabolism,K00816
Metabolism,Amino Acid Metabolism,Histidine Metabolism,K00817
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00817
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00817
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00817
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00817
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00818
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00819
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00820
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00820
Metabolism,Amino Acid Metabolism,Lysine Biosynthesis,K00821
Metabolism,Amino Acid Metabolism,Arginine Biosynthesis,K00821
Metabolism,Carbohydrate Metabolism,Propanoate Metabolism,K00822
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Degradation",K00822
Metabolism,Metabolism of Other Amino Acids,Beta-Alanine Metabolism,K00822
Metabolism,Carbohydrate Metabolism,Propanoate Metabolism,K00823
Metabolism,Carbohydrate Metabolism,Butanoate Metabolism,K00823
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00823
Metabolism,Metabolism of Other Amino Acids,Beta-Alanine Metabolism,K00823
Metabolism,Amino Acid Metabolism,Lysine Degradation,K00824
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00824
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00824
Metabolism,Metabolism of Other Amino Acids,D-Arginine and D-ornithine Metabolism ,K00824
Metabolism,Metabolism of Other Amino Acids,D-Alanine Metabolism,K00824
Metabolism,Amino Acid Metabolism,Lysine Biosynthesis,K00825
Metabolism,Amino Acid Metabolism,Lysine Degradation,K00825
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00825
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00826
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Degradation",K00826
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Biosynthesis",K00826
Metabolism,Metabolism of Cofactors and Vitamins,Pantothenate and CoA Biosynthesis,K00826
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00827
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00827
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00827
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Degradation",K00827
Metabolism,Carbohydrate Metabolism,Glyoxylate and Dicarboxylate Metabolism,K00830
Metabolism,Energy Metabolism,Methane Metabolism,K00830
Metabolism,Amino Acid Metabolism,"Alanine, Aspartate and Glutamate Metabolism",K00830
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00830
Metabolism,Energy Metabolism,Methane Metabolism,K00831
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00831
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00831
Metabolism,Metabolism of Cofactors and Vitamins,Vitamin B6 Metabolism,K00831
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00832
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00832
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00832
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00832
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00832
Metabolism,Metabolism of Cofactors and Vitamins,Biotin Metabolism,K00833
Metabolism,Amino Acid Metabolism,"Valine, Leucine and Isoleucine Biosynthesis",K00835
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00836
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00837
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00837
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00838
Metabolism,Amino Acid Metabolism,Lysine Biosynthesis,K00838
Metabolism,Amino Acid Metabolism,Tyrosine Metabolism,K00838
Metabolism,Amino Acid Metabolism,Phenylalanine Metabolism,K00838
Metabolism,Amino Acid Metabolism,Tryptophan Metabolism,K00838
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00838
Metabolism,Metabolism of Cofactors and Vitamins,Ubiquinone and Other Terpenoid-quinone Biosynthesis,K00838
Metabolism,Biosynthesis of Other Secondary Metabolites,Novobiocin Biosynthesis,K00838
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00839
Metabolism,Amino Acid Metabolism,Arginine and Proline Metabolism,K00840
Metabolism,Amino Acid Metabolism,Lysine Biosynthesis,K00841
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00844
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00844
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00844
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00844
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00844
Metabolism,Biosynthesis of Other Secondary Metabolites,Streptomycin Biosynthesis,K00844
Metabolism,Biosynthesis of Other Secondary Metabolites,"Neomycin, Kanamycin and Gentamicin Biosynthesis",K00844
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00845
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00845
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00845
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00845
Metabolism,Biosynthesis of Other Secondary Metabolites,Streptomycin Biosynthesis,K00845
Metabolism,Biosynthesis of Other Secondary Metabolites,"Neomycin, Kanamycin and Gentamicin Biosynthesis",K00845
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00846
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00847
Metabolism,Carbohydrate Metabolism,Starch and Sucrose Metabolism,K00847
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00847
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00848
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00848
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00849
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00849
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00850
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00850
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00850
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00850
Metabolism,Energy Metabolism,Methane Metabolism,K00850
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00851
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00852
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00853
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00854
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00856
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00857
Metabolism,Metabolism of Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,K00858
Metabolism,Metabolism of Cofactors and Vitamins,Pantothenate and CoA Biosynthesis,K00859
Metabolism,Energy Metabolism,Sulfur Metabolism,K00860
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00860
Metabolism,Metabolism of Cofactors and Vitamins,Riboflavin Metabolism,K00861
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00863
Metabolism,Energy Metabolism,Methane Metabolism,K00863
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00863
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00864
Metabolism,Carbohydrate Metabolism,Glyoxylate and Dicarboxylate Metabolism,K00865
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00865
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00865
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00866
Metabolism,Metabolism of Cofactors and Vitamins,Pantothenate and CoA Biosynthesis,K00867
Metabolism,Metabolism of Cofactors and Vitamins,Vitamin B6 Metabolism,K00868
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00869
Metabolism,Amino Acid Metabolism,"Glycine, Serine and Threonine Metabolism",K00872
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00873
Metabolism,Carbohydrate Metabolism,Pyruvate Metabolism,K00873
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00873
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00874
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00875
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00876
Metabolism,Metabolism of Cofactors and Vitamins,Thiamine Metabolism,K00877
Metabolism,Metabolism of Cofactors and Vitamins,Thiamine Metabolism,K00878
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00879
Metabolism,Carbohydrate Metabolism,Pentose and Glucuronate Interconversions,K00880
Metabolism,Carbohydrate Metabolism,Ascorbate and Aldarate Metabolism,K00880
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00881
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00882
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00883
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00884
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00885
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00886
Metabolism,Carbohydrate Metabolism,Amino Sugar and Nucleotide Sugar Metabolism,K00886
Metabolism,Glycan Biosynthesis and Metabolism,Peptidoglycan Biosynthesis,K00887
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00888
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00889
Metabolism,Amino Acid Metabolism,"Phenylalanine, Tyrosine, and Tryptophan Biosynthesis",K00891
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00892
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00893
Metabolism,Nucleotide Metabolism,Pyrimidine Metabolism,K00893
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00894
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00895
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00895
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00895
Metabolism,Amino Acid Metabolism,Cysteine and Methionine Metabolism,K00899
Metabolism,Carbohydrate Metabolism,Fructose and Mannose Metabolism,K00900
Metabolism,Lipid Metabolism,Glycerolipid Metabolism,K00901
Metabolism,Lipid Metabolism,Glycerophospholipid Metabolism,K00901
Metabolism,Glycan Biosynthesis and Metabolism,N-Glycan Biosynthesis,K00902
Metabolism,Nucleotide Metabolism,Purine Metabolism,K00904
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00911
Metabolism,Glycan Biosynthesis and Metabolism,Lipopolysaccharide Biosynthesis,K00912
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00913
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00914
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00915
Metabolism,Carbohydrate Metabolism,Galactose Metabolism,K00917
Metabolism,Carbohydrate Metabolism,Glycolysis / Gluconeogenesis,K00918
Metabolism,Carbohydrate Metabolism,Pentose Phosphate Pathway,K00918
Metabolism,Energy Metabolism,Methane Metabolism,K00918
Metabolism,Metabolism of Terpenoids and Polyketides,Terpenoid Backbone Biosynthesis,K00919
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00920
Metabolism,Carbohydrate Metabolism,Inositol Phosphate Metabolism,K00921
