COG0288	28	42	33	40	34	48	28	38	30
COG0289	59	105	97	94	183	124	79	140	122
COG0290	61	128	92	106	171	127	78	124	104
COG0291	42	73	60	74	102	85	57	72	71
COG0292	51	97	80	90	134	114	65	106	99
COG0293	8	13	7	9	7	6	14	19	2
COG0294	62	90	68	75	116	88	63	84	87
COG0295	49	96	90	109	160	107	75	113	109
COG0296	135	251	183	222	390	287	167	306	294
COG0297	68	142	157	155	291	207	96	191	171
COG0298	8	10	7	8	5	8	7	5	6
COG0299	44	87	75	86	135	100	64	97	98
COG0300	71	141	120	115	228	156	107	164	113
COG0301	25	59	73	76	160	96	47	101	93
COG0302	47	73	55	70	89	71	46	63	73
