"","cog.uniq"
"980","COG1178"
"981","COG1179"
"982","COG1180"
"983","COG1181"
"984","COG1183"
"985","COG1184"
"986","COG1185"
"987","COG1186"
"988","COG1187"
"989","COG1188"
"990","COG1189"
"991","COG1190"
"992","COG1191"
"993","COG1192"
"994","COG1193"
"995","COG1194"
"996","COG1195"
"997","COG1196"
"998","COG1197"
"999","COG1198"
"1000","COG1199"
"1001","COG1200"
"1002","COG1201"
"1003","COG1202"
"1004","COG1203"
"1005","COG1204"
"1006","COG1205"
"1007","COG1206"
"1008","COG1207"
"1009","COG1208"
"1010","COG1209"
"1011","COG1210"
"1012","COG1211"
"1013","COG1212"
"1014","COG1213"
"1015","COG1214"
"1016","COG1215"
"1017","COG1216"
"1018","COG1217"
"1019","COG1218"
"1020","COG1219"
"1021","COG1220"
"1022","COG1221"
"1023","COG1222"
"1024","COG1223"
"1025","COG1224"
"1026","COG1225"
"1027","COG1226"
"1028","COG1227"
"1029","COG1228"
"1030","COG1229"
"1031","COG1230"
"1032","COG1232"
"1033","COG1233"
"1034","COG1234"
"1035","COG1235"
"1036","COG1236"
"1037","COG1237"
"1038","COG1238"
"1039","COG1240"
"1040","COG1241"
"1041","COG1242"
"1042","COG1243"
"1043","COG1244"
"1044","COG1245"
"1045","COG1246"
"1046","COG1247"
"1047","COG1249"
"1048","COG1250"
"1049","COG1251"
"1050","COG1252"
"1051","COG1253"
"1052","COG1254"
"1053","COG1256"
"1054","COG1257"
"1055","COG1258"
"1056","COG1259"
"1057","COG1260"
"1058","COG1261"
"1059","COG1262"
"1060","COG1263"
"1061","COG1264"
"1062","COG1266"
"1063","COG1267"
"1064","COG1268"
"1065","COG1269"
"1066","COG1270"
"1067","COG1271"
"1068","COG1272"
"1069","COG1273"
"1070","COG1274"
"1071","COG1275"
"1072","COG1277"
"1073","COG1278"
"1074","COG1279"
"1075","COG1280"
"1076","COG1281"
"1077","COG1282"
"1078","COG1283"
"1079","COG1284"
"1080","COG1285"
"1081","COG1286"
"1082","COG1287"
"1083","COG1288"
"1084","COG1291"
"1085","COG1292"
"1086","COG1293"
"1087","COG1294"
"1088","COG1295"
"1089","COG1296"
"1090","COG1297"
"1091","COG1298"
"1092","COG1299"
"1093","COG1300"
"1094","COG1301"
"1095","COG1302"
"1096","COG1304"
"1097","COG1305"
"1098","COG1306"
"1099","COG1307"
"1100","COG1308"
"1101","COG1309"
"1102","COG1310"
"1103","COG1312"
"1104","COG1313"
"1105","COG1314"
"1106","COG1315"
"1107","COG1316"
"1108","COG1317"
"1109","COG1319"
"1110","COG1320"
"1111","COG1321"
"1112","COG1322"
"1113","COG1323"
"1114","COG1324"
"1115","COG1327"
"1116","COG1328"
"1117","COG1329"
"1118","COG1330"
"1119","COG1331"
"1120","COG1332"
"1121","COG1333"
"1122","COG1335"
"1123","COG1337"
"1124","COG1338"
"1125","COG1342"
"1126","COG1343"
"1127","COG1344"
"1128","COG1345"
"1129","COG1346"
"1130","COG1347"
"1131","COG1349"
"1132","COG1350"
"1133","COG1351"
"1134","COG1352"
"1135","COG1353"
"1136","COG1354"
"1137","COG1355"
"1138","COG1357"
"1139","COG1358"
"1140","COG1359"
"1141","COG1360"
"1142","COG1361"
"1143","COG1362"
"1144","COG1363"
"1145","COG1364"
"1146","COG1366"
"1147","COG1368"
"1148","COG1371"
"1149","COG1372"
"1150","COG1373"
"1151","COG1376"
"1152","COG1377"
"1153","COG1378"
"1154","COG1379"
"1155","COG1380"
"1156","COG1381"
"1157","COG1383"
"1158","COG1385"
"1159","COG1386"
"1160","COG1387"
"1161","COG1388"
"1162","COG1390"
"1163","COG1391"
"1164","COG1392"
"1165","COG1393"
"1166","COG1394"
"1167","COG1395"
"1168","COG1396"
"1169","COG1397"
"1170","COG1399"
"1171","COG1401"
"1172","COG1402"
"1173","COG1403"
"1174","COG1404"
"1175","COG1405"
"1176","COG1406"
"1177","COG1408"
"1178","COG1409"
"1179","COG1410"
"1180","COG1412"
"1181","COG1413"
"1182","COG1414"
"1183","COG1416"
"1184","COG1418"
"1185","COG1419"
"1186","COG1420"
"1187","COG1421"
"1188","COG1426"
"1189","COG1427"
"1190","COG1428"
"1191","COG1429"
"1192","COG1430"
"1193","COG1431"
"1194","COG1432"
"1195","COG1433"
"1196","COG1434"
"1197","COG1435"
"1198","COG1436"
"1199","COG1437"
"1200","COG1438"
"1201","COG1439"
"1202","COG1440"
"1203","COG1442"
"1204","COG1443"
"1205","COG1444"
"1206","COG1445"
"1207","COG1446"
"1208","COG1447"
"1209","COG1448"
"1210","COG1449"
"1211","COG1450"
"1212","COG1451"
"1213","COG1452"
"1214","COG1453"
"1215","COG1454"
"1216","COG1455"
"1217","COG1456"
"1218","COG1457"
"1219","COG1459"
"1220","COG1461"
"1221","COG1462"
"1222","COG1463"
"1223","COG1464"
"1224","COG1465"
"1225","COG1466"
"1226","COG1467"
"1227","COG1468"
"1228","COG1469"
"1229","COG1470"
"1230","COG1471"
"1231","COG1472"
"1232","COG1473"
"1233","COG1474"
"1234","COG1475"
"1235","COG1476"
"1236","COG1477"
"1237","COG1479"
"1238","COG1480"
"1239","COG1481"
"1240","COG1482"
"1241","COG1483"
"1242","COG1484"
"1243","COG1486"
"1244","COG1487"
"1245","COG1488"
"1246","COG1489"
"1247","COG1490"
"1248","COG1492"
"1249","COG1493"
"1250","COG1494"
"1251","COG1496"
"1252","COG1498"
"1253","COG1499"
"1254","COG1500"
"1255","COG1501"
"1256","COG1502"
"1257","COG1503"
"1258","COG1505"
"1259","COG1506"
"1260","COG1508"
"1261","COG1509"
"1262","COG1510"
"1263","COG1511"
"1264","COG1512"
"1265","COG1514"
"1266","COG1515"
"1267","COG1516"
"1268","COG1518"
"1269","COG1519"
"1270","COG1520"
"1271","COG1521"
"1272","COG1522"
"1273","COG1523"
"1274","COG1524"
"1275","COG1525"
"1276","COG1527"
"1277","COG1528"
"1278","COG1529"
"1279","COG1530"
"1280","COG1532"
"1281","COG1533"
